记录测试时间，测试总数，pass数量，失败数量 用‘=’拼接

2017-08-03 12:43:24.910136=2=2=0 
2017-08-03 12:45:16.609525=2=2=0 
2017-08-03 12:47:27.536014=2=2=0 
2017-08-03 12:49:40.110597=2=2=0 
2017-08-03 12:52:38.698811=2=2=0 
2017-08-03 12:53:42.818479=2=2=0 
2017-08-03 12:54:46.685132=2=2=0 
2017-08-03 12:58:24.075566=2=2=0 
2017-08-03 20:06:36.156240=3=3=0 
2017-08-07 21:21:30.565125=3=3=0 
2017-08-07 21:21:40.189966=3=3=0 
2017-08-07 21:23:44.128105=1=1=0 
2017-08-07 21:24:01.660727=1=1=0 
2017-08-07 21:32:32.699658=1=1=0 
2017-08-07 22:12:40.766591=1=1=0 
2017-08-07 22:14:37.564500=1=1=0 
2017-08-07 22:32:26.049623=1=1=0 
2017-08-07 22:36:41.490780=2=2=0 
2017-08-07 22:40:59.874033=1=2=0 
2017-08-07 22:44:47.322229=1=2=0 
2017-08-07 22:51:44.188499=1=2=0 
2017-08-07 22:54:25.723691=1=2=0 
2017-08-07 22:57:30.709222=1=2=0 
2017-08-07 22:58:45.900829=1=2=0 
2017-08-07 22:59:10.284229=1=2=0 
2017-08-07 23:00:45.679245=2=2=0 
2017-08-07 23:13:48.723968=2=2=0 
2017-08-07 23:15:51.716663=2=2=0 
2017-08-07 23:26:17.325786=100=100=0 
